Player_Name,Team,Position,Games_Played,Minutes,Field_Goals,Field_Goals_Attempted,Field_Goal_Percentage,three_points,three_points_attempted,Three_points_percentage,Free_throw,Free_throw_attempt,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Total_rebounds,Assists,Steals,Turnovers,Blocks,Personal_fouls,PTS,Playmaking,Shooting,Offense,All_Around,Defense
Chuck Hayes,SAC,PF,74,16.4,1.1,2.6,44.2,0,0,0,0.4,0.6,62.5,1.5,2.5,4.1,1.5,0.4,0.6,0.2,1.5,2.7,2.43902439,0.473126419,0.775193798,7.013513514,3.1
Cole Aldrich,SAC,C,15,11.7,1.4,2.5,56.8,0,0,0,0.5,0.7,72.7,1.2,3,4.2,0.2,0.1,0.6,0.9,1.3,3.3,-3.988603989,0.58356676,0.952380952,7.266666667,4
Corey Brewer,DEN,SF,83,24.6,4.6,10.8,42.5,1.1,3.7,29.9,1.9,2.7,69.5,0.7,2.2,2.9,1.5,1.4,1.2,0.3,1.9,12.2,-0.81300813,0.509270431,0.914259928,11.69879518,3.9
Corey Maggette,DET,SF,18,14.2,1.5,4.2,35.5,0.3,1.2,23.8,2,2.7,75,0.3,1.1,1.4,1.1,0.3,0.9,0.1,2.3,5.3,-1.17370892,0.486879869,0.815450644,5.277777778,1.5
Cory Joseph,SAS,PG,29,14.3,1.9,4.2,45.1,0.2,0.8,25,0.6,0.7,85.7,0.5,1.4,1.9,1.9,0.5,0.8,0.2,0.9,4.6,3.263403263,0.508409786,0.858064516,6.103448276,2.1
Courtney Lee,BOS,SG,77,25,3.2,6.8,46.7,0.8,2,37.2,0.8,0.9,86.1,0.4,2,2.4,1.8,1.1,1.1,0.3,1.8,7.9,0.4,0.548380114,0.944832945,8.909090909,3.4
D.J. Augustin,IND,PG,76,16.2,1.4,3.9,35.4,0.9,2.5,35.2,1.1,1.3,82.7,0.3,0.9,1.2,2.3,0.4,0.9,0,0.8,4.7,3.909465021,0.525680292,0.863361548,5.394736842,1.3
Daequan Cook,HOU,SG,16,10.4,1.3,3.7,35.6,0.7,1.9,36.7,0.1,0.2,66.7,0.3,0.8,1.1,0.6,0.4,0.4,0.1,0.8,3.4,-5.34E-16,0.447612732,0.812030075,3,1.3
Dahntay Jones,DAL,SF,50,12.7,1,2.8,35.7,0.2,0.7,21.6,1.3,1.6,80.5,0.3,1.1,1.4,0.6,0.2,0.4,0.1,1.5,3.5,-4.37E-16,0.499429224,0.875,3.9,1.4
Damian Lillard,POR,PG,81,38.6,6.8,15.8,43.1,2.3,6.2,36.7,3.4,4,84.7,0.5,2.6,3.1,6.5,0.9,3,0.2,2.1,19.2,3.454231434,0.546549882,0.922848665,18.50617284,3.7
Damien Wilkins,PHI,SG,61,18,2.3,5.2,45,0.2,0.8,30.6,1.3,1.7,73.6,0.5,1.2,1.7,1.4,0.6,0.8,0.3,1.6,6.2,0.740740741,0.521005624,0.90430622,6.885245902,2.1
Daniel Gibson,CLE,SG,46,20.1,1.8,5.4,34,1.2,3.5,34.4,0.6,0.8,70.3,0.1,1.2,1.3,1.8,0.7,0.7,0.1,1.9,5.4,2.487562189,0.469199334,0.830820771,5.195652174,2
Danilo Gallinari,DEN,SF,71,32.5,5.1,12.3,41.8,1.9,5.1,37.3,4,4.9,82.2,0.9,4.3,5.2,2.5,0.9,1.6,0.5,1.8,16.2,0.205128205,0.56036331,0.990525409,17.4084507,5.7
Danny Granger,IND,SF,5,15,2,7,28.6,0.4,2,20,1,1.6,62.5,0.6,1.2,1.8,0.6,0.4,0.8,0.2,1.2,5.4,-2.666666667,0.35046729,0.627906977,3.2,1.8
Danny Green,SAS,SG,81,27.3,3.7,8.2,44.7,2.2,5.1,42.9,0.8,1,84,0.5,2.6,3,1.8,1.1,1.2,0.7,1.6,10.4,0,0.601738037,1.050530256,11.49382716,4.4
Dante Cunningham,MIN,PF,80,25.2,3.9,8.4,47,0,0.1,0,0.9,1.3,65.4,1.8,3.3,5.1,0.8,1,0.7,0.5,1.9,8.8,-0.661375661,0.490414623,0.902564103,11.4,4.8
Darius Miller,NOR,SF,50,13.2,0.8,2,40.2,0.4,1.1,39.6,0.2,0.2,100,0.2,1.4,1.5,0.8,0.3,0.4,0.2,1.6,2.2,1.01010101,0.526819923,0.88,3.4,1.9
Darius Morris,LAL,PG,48,14.3,1.5,3.9,38.8,0.5,1.4,36.4,0.5,0.8,64.9,0.5,0.7,1.2,1.6,0.4,0.9,0,1.2,4,1.165501166,0.471235028,0.771084337,4.208333333,1.1
Darrell Arthur,MEM,PF,58,16.6,2.8,6.2,45.4,0.1,0.3,27.8,0.6,0.8,71.7,1.1,1.7,2.9,0.6,0.4,0.8,0.6,2.1,6.2,-2.409638554,0.47338523,0.839160839,6.724137931,2.7
Darren Collison,DAL,PG,80,29.3,4.2,8.9,46.8,0.6,1.7,35.8,3,3.4,87.8,0.4,2.3,2.7,5.1,1.3,2.2,0.1,1.7,11.9,4.09556314,0.572335514,0.9296875,14.6,3.7
David Lee,GSW,PF,78,36.7,7.6,14.6,51.8,0,0.1,0,3.2,4.1,79.6,2.7,8.4,11.2,3.6,0.9,2.6,0.3,3.1,18.4,-0.544959128,0.560634474,0.95539281,25.69230769,9.6
David West,IND,PF,73,33.3,6.9,13.8,49.7,0.1,0.3,21.1,3.3,4.3,76.8,2,5.8,7.8,2.9,1,2.2,0.9,2.1,17.1,-0.800800801,0.544902022,0.941886792,21.5890411,7.7
DeAndre Jordan,LAC,C,82,24.5,3.8,6,64.3,0,0,0,1.2,3,38.6,2.6,4.7,7.2,0.3,0.6,1.2,1.4,2.3,8.8,-4.081632653,0.601426096,1.012622721,16.7195122,6.7
DeJuan Blair,SAS,C,62,14.1,2.4,4.5,52.3,0,0,0,0.8,1.2,64.4,1.1,2.7,3.8,0.8,0.6,0.8,0.2,1.9,5.5,-1.891252955,0.547246116,0.931693989,8.403225806,3.5
DeMar DeRozan,TOR,SG,82,36.6,6.6,14.9,44.4,0.4,1.5,28.6,4.3,5.2,83.1,0.6,3.3,3.9,2.5,0.9,1.9,0.3,2.1,18,-0.637522769,0.523612215,0.927718416,16.30487805,4.5
DeMarcus Cousins,SAC,C,74,30.8,6.5,13.9,46.6,0.1,0.3,17.4,4.2,5.7,73.6,3,7.1,10.1,2.7,1.5,3,0.7,3.6,17.2,-3.896103896,0.524006323,0.870725034,23.2972973,9.3
DeMarre Carroll,UTH,SF,65,16.7,2.3,4.9,46.1,0.3,1,27.9,1.1,1.5,77.1,1.3,1.5,2.8,0.9,0.8,0.5,0.4,1.8,6,0.598802395,0.538495526,0.972568579,8.2,2.7
DeQuan Jones,ORL,SF,62,12.4,1.5,3.3,44.4,0.1,0.5,25,0.5,0.8,66,0.3,1.4,1.7,0.3,0.3,0.5,0.3,0.8,3.6,-2.419354839,0.491189427,0.85440613,4.209677419,2
Derek Fisher,OKC,PG,23,14.7,1.4,4.2,33.3,0.9,2.5,35.1,0.5,0.6,92.3,0.1,0.9,1,0.7,0.6,0.5,0,1.3,4.2,-0.22675737,0.470143466,0.836206897,3.304347826,1.5
Deron Williams,BKN,PG,79,36.4,6.4,14.5,44.3,2.2,5.7,37.7,4.1,4.8,86.2,0.4,2.6,3,7.7,0.9,2.8,0.4,2.5,19.1,6.41025641,0.574743289,0.969482814,20.89873418,3.9
Derrick Favors,UTH,PF,76,23.2,3.5,7.4,48.1,0,0.1,0,2.4,3.4,68.8,2.4,4.6,7.1,1,0.9,1.7,1.6,3.2,9.4,-4.454022989,0.528481762,0.870731707,15.40789474,7.1
Derrick Williams,MIN,PF,78,24.5,4.4,10.1,43.4,0.8,2.5,33.5,2.4,3.4,69.9,1.2,4.3,5.5,0.6,0.6,1.3,0.5,1.7,12,-3.673469388,0.517355737,0.916299559,13.20512821,5.4
DeSagana Diop,CHA,C,22,10.3,0.4,1.2,29.6,0,0,0,0,0,0,0.5,1.9,2.3,0.6,0.2,0.4,0.7,0.9,0.7,-5.39E-16,0.288461538,0.428571429,3.227272727,2.8
DeShawn Stevenson,ATL,SF,55,20.7,1.8,4.7,37.3,1.4,3.8,36.4,0.2,0.4,52.2,0.3,1.9,2.2,0.9,0.5,0.4,0.1,1.2,5.1,0.966183575,0.522926902,0.962328767,5.727272727,2.5
